S. No;Quotation;Author;;;;;;;;;;;;;;;;;;
2239;Mi-e silă de toate meseriile.Meşteri sau lucrători,toţi sunt nişte ţărani nemernici.Mâna care ţine condeiul nu-i mai prejos decât mâna care-mpinge plugul.Ce secol al mâinilor!Eu,unul,n-o să am niciodată o mână ca lumea.Şi apoi,slugărnicia duce prea departe.Cerşetoria cinstită mă umple de mâhnire.Ucigaşii sunt la fel de dezgustători ca scapeţii;;;;;;;;;;;;;;;;;;;
2240;Eu înţeleg,dar neputând da explicaţii fără a folosi cuvinte păgâne,aş prefera să tac.;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2241;Uyanık geçen gecelerIIşıklı bir dinleniş bu, ne hararet ne bitkinlik, yatağınüzerinde veya çayırların üstünde.Dost bu, ne ateşli ne zayıf. Dost.Sevgili bu, ne acı veren ne acı çeken. Sevgili.Hiç aranmamış hava ve dünya. Hayat.-Demek bu muydu?-Ve rüya şiddetleniyor;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2242;Yes, my eyes are shut to your light. I’m an animal, a nigger. But I can be saved. You’re all fake niggers, you brutal, greedy maniacs. Merchant? No: nigger. Magistrate? Nigger. General? Nigger. Emperor—you itchy old scab—nigger. You drank Satan’s duty-free booze. —Fever and cancer thrill you. Cripples and codgers are so decent they ask to be boiled. —The wisest move would be to leave this continent, creeping with madness, a madness that seeks hostages for lost souls. I set out in search of the true kingdom of the children of Ham.;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2243;A tap of your finger on the drum releases all sounds and initiates the new harmony.      A step of yours is the conscription of the new men and their marching orders.     You look away: the new love!     You look back,—the new love!     Change our fates, shoot down the plagues, beginning with time, the children sing to you. Build wherever you can the substance of our fortunes and our wishes, they beg you.     Arriving from always, you’ll go away everywhere.— Arthur Rimbaud, To a Reason, Poetry (April 2011) Translated from the French by John Ashbery.;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2244;Aquí abajo, no podemos fiamos de nadie;;;;;;;;;;;;;;;;;;;
2245;So much the worse for the wood if it finds that it has become a violin, and I feel nothing but contempt for those ignoramuses who argue over things that they know nothing about.;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2246;Cui să mă vând?Cărei jivine să mă închin?Ce icoană sfântă să sfărâm?Ce inimi să frâng?Ce minciuni să spun? În sângele cui să calc?;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2247;S-o pornesc din nou pe drumurile de-aici,împovărat de propriu-mi viciu,de viciul acesta care şi-a înfipt în mine rădăcinile dureroase încă de la vârsta când am început să judec,şi care urcă spre cer,mă loveşte,mă răstoarnă,mă târăşte după el. Ultima inocenţă şi ultima sfială.A fost rostită.A nu-i oferii lumii lehamitea şi trăirile mele.;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2248;Ah,mă simt atât de părăsit,încât i-aş închina oricărei icoane dumnezeieşti elanurile mele spre perfecţine.;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2249;I say that one must be a seer, make oneself a seer. The poet makes himself a seer by a long, prodigious, and rational disordering of all the senses. Every form of love, of suffering, of madness;;;;;;;;;;;;;;;;;;;
2250;Am încetat să îndrăgesc plictiseala.Furiile,dezmăţul,nebunia--căreia îi cunosc toate avânturile şi toate prăbuşirile,întreaga mea povară a fost lepădată.Să măsurăm fără a ameţi întinderea inocenţei mele.;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2251;Nu-i vina aramei dacă se trezeşte trâmbiţă!;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2252;Donc le poète est vraiment voleur de feu. Il est chargé de l'humanité, des animaux même ;;;;;;;;;;;;;;;;;;;
2253;L’Eternité — c’est la mer allée avec le soleil.;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2254;أنا القديس; في مدارج الصخر أصلي;;;;;;;;;;;;;;;;;;
2255;«¡Cielos! ¡Somos ya bastantes los condenados aquí abajo! ¡Llevo ya tanto tiempo en su rebaño! Los conozco a todos. Nos reconocemos siempre;;;;;;;;;;;;;;;;;;;
2256;"A Season in Hell - 1854-1891A while back, if I remember right, my life was one long party where all hearts were open wide, where all wines kept flowing.One night, I sat Beauty down on my lap.—And I found her galling.—And I roughed her up.I armed myself against justice.I ran away. O witches, O misery, O hatred, my treasure's been turned over to you!I managed to make every trace of human hope vanish from my mind. I pounced on every joy like a ferocious animal eager to strangle it.I called for executioners so that, while dying, I could bite the butts of their rifles. I called for plagues to choke me with sand, with blood. Bad luck was my god. I stretched out in the muck. I dried myself in the air of crime. And I played tricks on insanity.And Spring brought me the frightening laugh of the idiot.So, just recently, when I found myself on the brink of the final squawk! it dawned on me to look again for the key to that ancient party where I might find my appetite once more.Charity is that key.—This inspiration proves I was dreaming!""You'll always be a hyena etc. . . ,"" yells the devil, who'd crowned me with such pretty poppies. ""Deserve death with all your appetites, your selfishness, and all the capital sins!""Ah! I've been through too much:-But, sweet Satan, I beg of you, a less blazing eye! and while waiting for the new little cowardly gestures yet to come, since you like an absence of descriptive or didactic skills in a writer, let me rip out these few ghastly pages from my notebook of the damned.";Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2257;dans;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2258;L’EternitéElle est retrouvée.Quoi ? – L’Eternité.C’est la mer alléeAvec le soleil.Ame sentinelle,Murmurons l’aveuDe la nuit si nulleEt du jour en feu.Des humains suffrages,Des communs élansLà tu te dégagesEt voles selon.Puisque de vous seules,Braises de satin,Le Devoir s’exhaleSans qu’on dise : enfin.Là pas d’espérance,Nul orietur.Science avec patience,Le supplice est sûr.Elle est retrouvée.Quoi ? – L’Eternité.C’est la mer alléeAvec le soleil.;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2259;At last, I began to consider my mind's disorder a sacred thing.;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2260;¡Si el tiempo retomara, el tiempo que ya fue…!—¡El Hombre está acabado, se acabó su teatro!Y un día, a plena luz, harto de romper ídolos,libre renacerá, libre de tantos dioses,buceando en los cielos, pues pertenece al cielo.¡El Ideal, eterno pensamiento invencible,ese dios que se agita en la camal arcilla,subirá, subirá, y arderá en su cabeza!Y, cuando lo sorprendas mirando el horizonte,libre de viejos yugos que desprecia sin miedos,vendrás a concederle la santa Redención[91]—Espléndida, radiante, del seno de los maresnacerás, derramando por el vasto Universoel Amor infinito en su infinita risa:el Mundo vibrará como una lira inmensaen el temblor sin límites de un beso repetido.—El Mundo está sediento de Amor: aplácalo.;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2261;¿Por qué es mudo el azur e insondable el espacio?¿Por qué los astros de oro que hierven como arena?Si subiéramos más y más, allá arriba ¿qué habría?¿Existe algún Pastor de este inmenso ganadode mundos trashumantes por el horrible espacio?Y estos mundos que el éter abraza inmensamente¿vibran, acaso, al son de una llamada eterna?—¿El Hombre puede ver? ¿y decir: creo, creo?¿La voz del pensamiento va más allá del sueño?Si en el nacer es raudo, si su vida es tan corta¿de dónde viene el Hombre? ¿se abisma en el Océanoprofundo de los gérmenes, los Fetos, los Embriones,en el Crisol sin fondo del que la Madre cósmicalo resucitará, criatura que vive,para amar en la rosa y crecer en los trigos?…¡No podemos saberlo! —¡Estamos agobiadospor un oscuro manto de ignorancia y quimeras!¡Farsas de hombre, caídos de las vulvas maternas,nuestra razón, tan pálida, nos vela el infinito!¡Si queremos mirar, la Duda nos castiga!¡La duda, triste pájaro, nos hiere con sus alas!…—¡Y en una huida eterna huyen los horizontes!;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2262;Mille rêves en moi font de douces brûlure :Puis par instants mon cœur triste est comme un aubierQu'ensanglante l'or jeune et sombre des coulures.;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2263;Elle est retrouvée.Quoi? — l'Éternité.C'est la mer alléeAvec le soleil;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2264;Que notre sang rie en nos veines,Voici s'enchevêtrer les vignes.;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2265;DAWN I held the summer dawn in my arms. Nothing stirred in front of the palaces. The water was dead. Camps of shadows rested on the road through the woods. I walked, awakening live warm breaths as precious stones looked on and wings soundlessly rose. The first undertaking, in a path already filled with cool pale glimmers of light, was a flower that told me its name. I laughed at a blonde wasserfall whose tresses streamed between firs;;;;;;;;;;;;;;;;;;;
2266;Hace ya miles de años que la pálida Ofeliapasa, fantasma blanco por el gran río negro;;;;;;;;;;;;;;;;;;;
2267;¡Oh tristísima Ofelia, bella como la nieve,muerta cuando eras niña, llevada por el río!Y es que los fríos vientos que caen de Noruegate habían susurrado la adusta libertad.Y es que un arcano soplo, al blandir tu melena,en tu mente traspuesta metió voces extrañas;;;;;;;;;;;;;;;;;;;
2268;Yo es otro.;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2269;Man's labors! Explosions that, from time to time, illuminate my abyss.;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2270;En la horca negra bailan, amable manco,bailan los paladines,los descarnados danzarines del diablo;;;;;;;;;;;;;;;;;;;
2271;He tratado de inventar nuevas flores, nuevos astros, nuevas carnes, nuevos idiomas. Creí adquirir poderes sobrenaturales. ¡Y bien! ¡debo enterrar mi imaginación y mis recuerdos! ¿Bella gloria de artista y de narrador perdida!¡Yo! ¡Yo que me consideré ángel o mago, dispensado de toda moral, soy restituido a la tierra, con un deber que hay que buscar, y una rugosa realidad que es necesario estrechar! ¡Patán!¿Me engaño? ¿La caridad sería, para mí, hermana de la muerte?;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2272;¡Hurra!, alegres danzantes que perdisteis la panza,trenzad vuestras cabriolas pues el tablao es amplio,¡Que no sepan, por Dios, si es danza o es batalla!¡Furioso, Belzebú rasga sus violines!¡Rudos talones;;;;;;;;;;;;;;;;;;;
2273;Con diecisiete años, no puedes ser formal.—¡Una tarde, te asqueas de jarra y limonada,de los cafés ruidosos con lustros deslumbrantes!—Y te vas por los tilos verdes de la alameda.¡Qué bien huelen los tilos en las tardes de junio!El aire es tan suave que hay que bajar los párpados;;;;;;;;;;;;;;;;;;;
2274;I have seen the low sun spotted with mystic horrors,Lighting up, with long violet clots,Resembling actors of very ancient dramas,The waves rolling far off their quivering of shutters!;Arthur Rimbaud;;;;;;;;;;;;;;;;;;
2275;¡Perpetua farsa! Mi inocencia podría hacerme llorar. La vida es la farsa en que participamos todos.;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2276;EL MALMientras que los gargajos rojos de la metrallasilban surcando el cielo azul, día tras día,y que, escarlata o verdes, cerca del rey que ríese hunden batallones que el fuego incendia en masa;;;;;;;;;;;;;;;;;;;
2277;«—Ves a ese elegante joven, penetrando en la hermosa y calma mansión: se llama Duval, Dufour, Armando, Mauricio, ¿qué sé yo? Una mujer se ha consagrado a querer a ese maligno idiota: está muerta, con seguridad ahora es una santa en el cielo. Tú me matarás como él mató a esa mujer. Es nuestro destino, el destino de los corazones caritativos…» ¡Ay! algunos días se le antojaba que todos los hombres laboriosos eran juguetes de delirios grotescos;;;;;;;;;;;;;;;;;;;
2278;Acum,mă bucur de un frumos avantaj,acela că pot să-mi bat joc de vechile iubiri mincionase şi să fac de ruşine cuplurile acelea întemeiate pe minciună--am văzut iadul femeilor!încât îmi va fi îngăduit să posed adevărul într-un suflet şi într-un trup.;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2279;El otoño. Nuestra barca en lo alto de las brumas inmóviles vira hacia el puerto de la miseria, la ciudad enorme de cielo manchado de fuego y lodo. ¡Ah! ¡los harapos podridos, el pan empapado en lluvia, la embriagues, los mil amores que me han crucificado! ¿No acabará nunca esta vampira, soberana de millones de almas y de cuerpos muertos y que serán juzgados! Vuelvo a verme, la piel devorada por el fango y la peste, lleno de gusanos los cabellos y las axilas y con gusanos aún mayores en el corazón, tendido entre desconocidos sin edad, sin sentimiento… Hubiera podido morir allí… ¡Horrible evocación! Execro la miseria.;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2280;Am avut dreptate să dispreţuiesc tot ce-am dispreţuit:cea mai bună dovadă este că evadez!;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2281;l'Idole où tu mis tant de virginité,Où tu divinisas notre argile, la Femme,Afin que l'Homme pût éclairer sa pauvre âmeEt monter lentement, dans un immense amour,De la prison terrestre à la beauté du jour;Arthur Rimbaud,;;;;;;;;;;;;;;;;;;
2282;A, Black, E, white, I red, U green, O blue: vowels, Someday I shall tell of your mysterious births:A, black velvety corset of dazzling fliesBuzzing around cruel smells,Gulfs of shadow;;;;;;;;;;;;;;;;;;;
2283;A book must be the axe for the frozen sea within us.;Franz Kafka;;;;;;;;;;;;;;;;;;
2284;I am a cage, in search of a bird.;Franz Kafka;;;;;;;;;;;;;;;;;;
2285;Don't bend;;;;;;;;;;;;;;;;;;;
2286;Many a book is like a key to unknown chambers within the castle of one’s own self.;Franz Kafka;;;;;;;;;;;;;;;;;;
2287;Youth is happy because it has the capacity to see beauty. Anyone who keeps the ability to see beauty never grows old.;Franz Kafka;;;;;;;;;;;;;;;;;;
2288;I think we ought to read only the kind of books that wound or stab us. If the book we're reading doesn't wake us up with a blow to the head, what are we reading for? So that it will make us happy, as you write? Good Lord, we would be happy precisely if we had no books, and the kind of books that make us happy are the kind we could write ourselves if we had to. But we need books that affect us like a disaster, that grieve us deeply, like the death of someone we loved more than ourselves, like being banished into forests far from everyone, like a suicide. A book must be the axe for the frozen sea within us. That is my belief.;Franz Kafka;;;;;;;;;;;;;;;;;;
2289;I am free and that is why I am lost.;Franz Kafka;;;;;;;;;;;;;;;;;;
2290;I write differently from what I speak, I speak differently from what I think, I think differently from the way I ought to think, and so it all proceeds into deepest darkness.;Franz Kafka;;;;;;;;;;;;;;;;;;
2291;I cannot make you understand. I cannot make anyone understand what is happening inside me. I cannot even explain it to myself.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2292;A First Sign of the Beginning of Understanding is the Wish to Die.;Franz Kafka;;;;;;;;;;;;;;;;;;
2293;The meaning of life is that it stops.;Franz Kafka;;;;;;;;;;;;;;;;;;
2294;All language is but a poor translation.;Franz Kafka;;;;;;;;;;;;;;;;;;
2295;"A non-writing writer is a monster courting insanity.""[Letter to Max Brod, July 5, 1922]";Franz Kafka;;;;;;;;;;;;;;;;;;
2296;You do not need to leave your room. Remain sitting at your table and listen. Do not even listen, simply wait, be quiet, still and solitary. The world will freely offer itself to you to be unmasked, it has no choice, it will roll in ecstasy at your feet.;Franz Kafka;;;;;;;;;;;;;;;;;;
2297;By believing passionately in something that still does not exist, we create it. The nonexistent is whatever we have not sufficiently desired.;Franz Kafka;;;;;;;;;;;;;;;;;;
2298;Slept, awoke, slept, awoke, miserable life.;franz kafka;;;;;;;;;;;;;;;;;;
2299;Books are a narcotic.;Franz Kafka;;;;;;;;;;;;;;;;;;
2300;I have the true feeling of myself only when I am unbearably unhappy.;Franz Kafka;;;;;;;;;;;;;;;;;;
2301;Paths are made by walking;Franz Kafka;;;;;;;;;;;;;;;;;;
2302;I think we ought to read only the kind of books that wound and stab us.;Franz Kafka;;;;;;;;;;;;;;;;;;
2303;I can’t think of any greater happiness than to be with you all the time, without interruption, endlessly, even though I feel that here in this world there’s no undisturbed place for our love, neither in the village nor anywhere else;;;;;;;;;;;;;;;;;;;
2304;It's only because of their stupidity that they're able to be so sure of themselves.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2305;Writing is utter solitude, the descent into the cold abyss of oneself.;Franz Kafka;;;;;;;;;;;;;;;;;;
2306;I have spent all my life resisting the desire to end it.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2307;There is an infinite amount of hope in the universe ... but not for us.;Franz Kafka;;;;;;;;;;;;;;;;;;
2308;He is terribly afraid of dying because he hasn’t yet lived.;Franz Kafka;;;;;;;;;;;;;;;;;;
2309;I am constantly trying to communicate something incommunicable, to explain something inexplicable, to tell about something I only feel in my bones and which can only be experienced in those bones. Basically it is nothing other than this fear we have so often talked about, but fear spread to everything, fear of the greatest as of the smallest, fear, paralyzing fear of pronouncing a word, although this fear may not only be fear but also a longing for something greater than all that is fearful.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2310;I usually solve problems by letting them devour me.;Franz Kafka;;;;;;;;;;;;;;;;;;
2311;I never wish to be easily defined. I’d rather float over other people’s minds as something strictly fluid and non-perceivable;;;;;;;;;;;;;;;;;;;
2312;I am in chains. Don't touch my chains.;Kafka, Franz;;;;;;;;;;;;;;;;;;
2313;I miss you deeply, unfathomably, senselessly, terribly.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2314;Now I can look at you in peace;;;;;;;;;;;;;;;;;;;
2315;Love is, that you are the knife which I plunge into myself.;Kafka, Franzv;;;;;;;;;;;;;;;;;;
2316;I do not speak as I think, I do not think as I should, and so it all goes on in helpless darkness.;Franz Kafka;;;;;;;;;;;;;;;;;;
2317;Better to have, and not need, than to need, and not have.;Franz Kafka;;;;;;;;;;;;;;;;;;
2318;I’m tired, can’t think of anything and want only to lay my face in your lap, feel your hand on my head and remain like that through all eternity.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2319;This tremendous world I have inside of me. How to free myself, and this world, without tearing myself to pieces. And rather tear myself to a thousand pieces than be buried with this world within me.;Kafka Franz,;;;;;;;;;;;;;;;;;;
2320;As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2321;You are at once both the quiet and the confusion of my heart.;Franz Kafka;;;;;;;;;;;;;;;;;;
2322;They say ignorance is bliss.... they're wrong ;Franz Kafka;;;;;;;;;;;;;;;;;;
2323;I need solitude for my writing;;;;;;;;;;;;;;;;;;;
2324;In man's struggle against the world, bet on the world.;Franz Kafka;;;;;;;;;;;;;;;;;;
2325;In a way, you are poetry material;;;;;;;;;;;;;;;;;;;
2326;May I kiss you then? On this miserable paper? I might as well open the window and kiss the night air.;Franz Kafka;;;;;;;;;;;;;;;;;;
2327;You are the knife I turn inside myself;;;;;;;;;;;;;;;;;;;
2328;April 27. Incapable of living with people, of speaking. Complete immersion in myself, thinking of myself. Apathetic, witless, fearful. I have nothing to say to anyone - never.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2329;One of the first signs of the beginning of understanding is the wish to die. This life appears unbearable, another unattainable. One is no longer ashamed of wanting to die;;;;;;;;;;;;;;;;;;;
2330;You can hold yourself back from the sufferings of the world, that is something you are free to do and it accords with your nature, but perhaps this very holding back is the one suffering you could avoid.;Franz Kafka;;;;;;;;;;;;;;;;;;
2331;People label themselves with all sorts of adjectives. I can only pronounce myself as 'nauseatingly miserable beyond repair'.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2332;Beyond a certain point there is no return. This point has to be reached.;Franz Kafka;;;;;;;;;;;;;;;;;;
2333;It would have been so pointless to kill himself that, even if he had wanted to, the pointlessness would have made him unable.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2334;Yours(now I'm even losing my name - it was getting shorter and shorter all the time and is now: Yours);Franz Kafka,;;;;;;;;;;;;;;;;;;
2335;My peers, lately, have found companionship through means of intoxication--it makes them sociable. I, however, cannot force myself to use drugs to cheat on my loneliness--it is all that I have--and when the drugs and alcohol dissipate, will be all that my peers have as well.;Franz Kafka;;;;;;;;;;;;;;;;;;
2336;Most men are not wicked... They are sleep-walkers, not evil evildoers.;Franz Kafka;;;;;;;;;;;;;;;;;;
2337;L'éternité, c'est long ... surtout vers la fin.;Franz Kafka;;;;;;;;;;;;;;;;;;
2338;Love is a drama of contradictions.;Franz Kafka;;;;;;;;;;;;;;;;;;
2339;"How about if I sleep a little bit longer and forget all this nonsense"",";Franz Kafka,;;;;;;;;;;;;;;;;;;
2340;First impressions are always unreliable.;Franz Kafka;;;;;;;;;;;;;;;;;;
2341;Written kisses don't reach their destination, rather they are drunk on the way by the ghosts.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2342;We photograph things in order to drive them out of our minds. My stories are a way of shutting my eyes.;Franz Kafka;;;;;;;;;;;;;;;;;;
2343;The truth is always an abyss. One must — as in a swimming pool — dare to dive from the quivering springboard of trivial everyday experience and sink into the depths, in order to later rise again — laughing and fighting for breath — to the now doubly illuminated surface of things.;Franz Kafka;;;;;;;;;;;;;;;;;;
2344;We are as forlorn as children lost in the wood. When you stand in front of me and look at me, what do you know of the griefs that are in me and what do I know of yours? And if I were to cast myself down before you and tell you, what more would you know about me that you know about Hell when someone tells you it is hot and dreadful?;Franz Kafka;;;;;;;;;;;;;;;;;;
2345;From a certain point onward there is no longer any turning back. That is the point that must be reached.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2346;I dream of a grave, deep and narrow, where we could clasp each other in our arms as with clamps, and I would hide my face in you and you would hide your face in me, and nobody would ever see us any more;Franz Kafka,;;;;;;;;;;;;;;;;;;
2347;Just think how many thoughts a blanket smothers while one lies alone in bed, and how many unhappy dreams it keeps warm.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2348;Last night I dreamed about you. What happened in detail I can hardly remember, all I know is that we kept merging into one another. I was you, you were me. Finally you somehow caught fire.;Franz Kafka;;;;;;;;;;;;;;;;;;
2349;Kill me, or you are a murderer.;Franz Kafka;;;;;;;;;;;;;;;;;;
2350;What am I doing here in this endless winter?;Franz Kafka,;;;;;;;;;;;;;;;;;;
2351;You are free and that is why you are lost.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2352;All I am is literature, and I am not able or willing to be anything else.;Franz Kafka;;;;;;;;;;;;;;;;;;
2353;We need the books that affect us like a disaster, that grieve us deeply, like the death of someone we loved more than ourselves, like being banished into forests far from everyone, like a suicide. A book must be the axe for the frozen sea inside us.;Franz Kafka;;;;;;;;;;;;;;;;;;
2354;You are at once both the quiet and the confusion of my heart;;;;;;;;;;;;;;;;;;;
2355;They're talking about things of which they don't have the slightest understanding, anyway. It's only because of their stupidity that they're able to be so sure of themselves.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2356;Do you know, darling? When you became involved with others you quite possibly stepped down a level or two, but If you become involved with me, you will be throwing yourself into the abyss.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2357;it is not necessary to accept everything as true, one must only accept it as necessary.' 'A melancholy conclusion,' said K. 'It turns lying into a universal principle.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2358;I am dirty, Milena, endlessly dirty, that is why I make such a fuss about cleanliness. None sing as purely as those in deepest hell;;;;;;;;;;;;;;;;;;;
2359;My guiding principle is this: Guilt is never to be doubted.;Franz Kafka;;;;;;;;;;;;;;;;;;
2360;Was he an animal, that music could move him so? He felt as if the way to the unknown nourishment he longed for were coming to light.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2361;sleep is the most innocent creature there is and a sleepless manthe most guilty.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2362;The Kafka paradox: art depends on truth, but truth, being indivisable, cannot know itself: to tell the truth is to lie. thus the writer is the truth, and yet when he speaks he lies.;Franz Kafka;;;;;;;;;;;;;;;;;;
2363;Please — consider me a dream.;Franz Kafka;;;;;;;;;;;;;;;;;;
2364;The limited circle is pure.;Franz Kafka;;;;;;;;;;;;;;;;;;
2365;Logic may indeed be unshakeable, but it cannot withstand a man who is determined to live.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2366;We are as forlorn as children lost in the woods. When you stand in front of me and look at me, what do you know of the griefs that are in me and what do I know of yours. And if I were to cast myself down before you and weep and tell you, what more would you know about me than you know about Hell when someone tells you it is hot and dreadful? For that reason alone we human beings ought to stand before one another as reverently, as reflectively, as lovingly, as we would before the entrance to Hell.;Franz Kafka;;;;;;;;;;;;;;;;;;
2367;When one is alone, imperfection must be endured every minute of the day;;;;;;;;;;;;;;;;;;;
2368;I have hardly anything in common with myself and should stand very quietly in a corner, content that I can breathe.;Franz Kafka;;;;;;;;;;;;;;;;;;
2369;I want in fact more of you. In my mind I am dressing you with light;;;;;;;;;;;;;;;;;;;
2370;I can love only what I can place so high above me that I cannot reach it.;Franz Kafka;;;;;;;;;;;;;;;;;;
2371;"Alas,"" said the mouse, ""the whole world is growing smaller every day. At the beginning it was so big that I was afraid, I kept running and running, and I was glad when I saw walls far away to the right and left, but these long walls have narrowed so quickly that I am in the last chamber already, and there in the corner stands the trap that I must run into."" ""You only need to change your direction,"" said the cat, and ate it up.";Franz Kafka;;;;;;;;;;;;;;;;;;
2372;He thought back on his family with deep emotion and love. His conviction that he would have to disappear was, if possible, even firmer than his sister's. He remained in this state of empty and peaceful reflection until the tower clock struck three in the morning. He still saw that outside the window everything was beginning to grow light. Then, without his consent, his head sank down to the floor, and from his nostrils streamed his last weak breath.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2373;Anyone who keeps the ability to see beauty never grows old.;Franz Kafka;;;;;;;;;;;;;;;;;;
2374;There art two cardinal sins from which all others spring: Impatience and Laziness.;Franz Kafka;;;;;;;;;;;;;;;;;;
2375;I’m doing badly, I’m doing well, whichever you prefer.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2376;For myself I am too heavy, and for you too light.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2377;Evil is whatever distracts.;Franz Kafka;;;;;;;;;;;;;;;;;;
2378;It certainly was not my intention to make you suffer, yet i have done so;;;;;;;;;;;;;;;;;;;
2379;Believing in progress does not mean believing that any progress has yet been made.;Franz Kafka;;;;;;;;;;;;;;;;;;
2380;What if I slept a little more and forgot about all this nonsense.;Franz Kafka;;;;;;;;;;;;;;;;;;
2381;"No,"" said the priest, ""you don't need to accept everything as true, you only have to accept it as necessary."" ""Depressing view,"" said K. ""The lie made into the rule of the world.";Franz Kafka,;;;;;;;;;;;;;;;;;;
2382;You can choose to be free , but it's last decision you'll ever make;#¿NOMBRE?;;;;;;;;;;;;;;;;;;
2383;Even if no salvation should come, I want to be worthy of it at every moment.;Franz Kafka;;;;;;;;;;;;;;;;;;
2384;I am not well;;;;;;;;;;;;;;;;;;;
2385;Life's splendor forever lies in wait about each one of us in all its fullness, but veiled from view, deep down, invisible, far off. It is there, though, not hostile, not reluctant, not deaf. If you summon it by the right word, by its right name, it will come.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2386;Nervous states of the worst sort control me without pause. Everything that is not literature bores me and I hate it. I lack all aptitude for family life except, at best, as an observer. I have no family feeling and visitors make me almost feel as though I were maliciously being attacked.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2387;I’m thinking only of my illness and my health, though both, the first as well as the second, are you.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2388;Sometimes I have the feeling that we're in one room with two opposite doors and each of us holds the handle of one door, one of us flicks an eyelash and the other is already behind his door, and now the first one has but to utter a word ad immediately the second one has closed his door behind him and can no longer be seen. He's sure to open the door again for it's a room which perhaps one cannot leave. If only the first one were not precisely like the second, if he were calm, if he would only pretend not to look at the other, if he slowly set the room in order as though it were a room like any other;;;;;;;;;;;;;;;;;;;
2389;Forget everything. Open the windows. Clear the room. The wind blows through it. You see only its emptiness, you search in every corner and don’t find yourself.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2390;If I could drown in sleep as I drown in fear I would be no longer alive.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2391;Anyone who cannot cope with life while he is alive needs one hand to ward off a little his despair over his fate...but with his other hand he can jot down what he sees among the ruins, for he sees different and more things than the others;;;;;;;;;;;;;;;;;;;
2392;I am always trying to convey something that can’t be conveyed, to explain something which is inexplicable, to tell about something I have in my bones, something which can be expressed only in the bones.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2393;Should I be grateful or should I curse the fact that despite all misfortune I can still feel love, an unearthly love but still for earthly objects.;Franz Kafka,;;;;;;;;;;;;;;;;;;
